dataset,mean_shannon_entropy,mean_delentropy,gpt4o_macro_recall,gpt4_1_macro_recall,openvla_macro_recall,pi0_base_macro_recall,pi0_fast_macro_recall
bigfish,6.452073210761661,10.53483837490133,0.054075742190334015,0.10730942472750035,0.1117986927497246,0.09847364558395454,0.02175489081773192
bossfight,7.3859908282756805,13.014351398331664,0.03269494721122876,0.06770197693136307,0.09725570190080937,0.06958926658138692,0.11177057594097146
caveflyer,2.444599666765758,6.828391535907388,0.042892297838454545,0.09376332383993916,0.10120902671693859,0.08506108090773874,0.06003579933320996
chaser,5.993356191317241,11.591575496884115,0.03374518799806901,0.11570122172074557,0.10718760775101117,0.09869293886380798,0.07124058763305961
climber,1.3622347540325588,4.343526877375051,0.08928982615189193,0.11273999285638052,0.10399132510396739,0.08360066609688982,0.04222679570563456
coinrun,3.047973641535131,8.506473103141513,0.07852068070619295,0.10886666669892484,0.10965507134526145,0.09629246849332564,0.023583246864999474
dodgeball,5.255646381152452,10.294045261637898,0.05036120032472071,0.08986821720675384,0.09842148961948254,0.06405288284656763,0.04053584293175862
fruitbot,4.956744030932066,9.900336818183767,0.021249940088434432,0.09448422506783907,0.09806488311577485,0.06996919404960525,0.03752728669342934
heist,5.248903391959069,10.992274615281104,0.06949319366879693,0.1080303405522025,0.10851790996331842,0.07835792298685787,0.016160007120100087
jumper,2.9782772103945416,8.319020126755428,0.10030197396477394,0.11403338262354806,0.11771422177798471,0.09570061210712705,0.03141996707860142
leaper,5.48150568332025,11.080685470173414,0.10216937802034726,0.11032427636340396,0.11093186251838594,0.09735412249122188,0.02427841498005094
maze,4.966508077290244,10.676160460441,0.08500018227360773,0.1062674390511443,0.12516756404288595,0.08858294094625294,0.023255812451535497
miner,4.7725982232527295,9.65615669188668,0.048926700958660904,0.10729385208725664,0.10416348998385973,0.09992331655526385,0.02310523887547301
ninja,2.1905190425041394,5.7551959445017085,0.04424555227510482,0.06226325728673557,0.07859886980500273,0.07152741361330396,0.022121408219573185
plunder,7.756871801249835,12.65141670188192,0.04175649924113454,0.06850880464343304,0.09967261008601574,0.09407630200123507,0.06870211584206237
starpilot,5.844147748094264,12.366309390675614,0.012812570887398378,0.05484068276076079,0.09420821064480055,0.08074014517873275,0.08869792703152735
